topic,lecture-01,lecture-02,lecture-03,lecture-04,lecture-05,lecture-06,lecture-07,lecture-08,lecture-09,lecture-10,lecture-11,lecture-12,lecture-13,lecture-14,lecture-15,lecture-16,lecture-17,lecture-18,lecture-19,lecture-20,lecture-21,lecture-22,lecture-23,lecture-24,lecture-25,lecture-26,lecture-27,lecture-28,lecture-29,lecture-30,lecture-31,lecture-32,total,beginner,foundational,intermediate,advanced,expert
Invariants & correctness,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/0/0/1/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/1/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,2; 1/0/1/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,2; 1/1/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,6,2,2,1,1,0
Greedy & optimization,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/1/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/0/0/1/0,0; 0/0/0/0/0,0; 0/0/0/0/0,4; 1/1/1/1/0,1; 0/0/0/1/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,4; 1/1/1/0/1,0; 0/0/0/0/0,2; 1/1/0/0/0,13,3,4,2,3,1
Dynamic programming,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/0/0/0/1,2; 0/0/1/1/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,3,0,0,1,1,1
Graphs & networks,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/0/1/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/0/0/0/1,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,5; 1/1/1/2/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/0/1/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 1/0/0/0/0,9,2,1,3,2,1
Counting & probability,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 1/0/0/0/0,0; 0/0/0/0/0,4; 1/1/1/1/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/0/1/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,4; 1/1/1/0/1,0; 0/0/0/0/0,1; 0/0/1/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,4; 1/1/1/1/0,0; 0/0/0/0/0,15,4,3,5,2,1
Simulation,0; 0/0/0/0/0,1; 0/0/0/0/1,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/0/0/1/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/0/0/1/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/0/1/0/0,1; 0/0/0/1/0,0; 0/0/0/0/0,1; 0/0/0/0/1,0; 0/0/0/0/0,0; 0/0/0/0/0,4; 1/1/1/0/1,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,10,1,1,2,3,3
Data analysis,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,5; 2/1/1/1/0,0; 0/0/0/0/0,0; 0/0/0/0/0,3; 1/1/1/0/0,0; 0/0/0/0/0,1; 0/1/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/0/0/1/0,0; 0/0/0/0/0,2; 0/1/0/1/0,0; 0/0/0/0/0,1; 0/0/1/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,5; 1/1/2/0/1,2; 0/0/1/1/0,2; 0/0/1/1/0,4; 1/1/1/0/1,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/0/1/0/0,2; 0/1/1/0/0,29,5,7,10,5,2
Debugging & testing,0; 0/0/0/0/0,1; 0/1/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,4; 1/1/1/1/0,4; 1/1/1/1/0,4; 1/1/1/1/0,0; 0/0/0/0/0,1; 1/0/0/0/0,1; 0/0/0/1/0,5; 1/2/1/1/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 1/0/0/0/0,1; 0/0/0/0/1,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,22,6,6,4,5,1
Complexity & trade-offs,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/0/1/0/0,1; 0/0/0/1/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/0/0/1/0,0; 0/0/0/0/0,1; 0/0/0/1/0,0; 0/0/0/0/0,4; 1/1/1/1/0,0; 0/0/0/0/0,0; 0/0/0/0/0,2; 0/0/2/0/0,1; 0/0/0/1/0,0; 0/0/0/0/0,1; 0/0/0/1/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/0/1/0/0,0; 0/0/0/0/0,1; 0/1/0/0/0,1; 0/0/0/1/0,15,1,2,5,7,0
Ethics & strategic reasoning,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/0/0/1/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/0/0/1/0,0; 0/0/0/0/0,2,0,0,0,2,0
